place,id
China ,2644
India ,895
United States ,3255
Indonesia ,777
Uttar Pradesh ,836
Pakistan ,3059
Brazil ,1336
Nigeria ,370
Bangladesh ,933
Russia ,2650
Japan ,2520
Mexico ,3266
Maharashtra ,1139
Bihar ,940
Guangdong ,921
Punjab ,1147
Shandong ,2295
Philippines ,947
Henan ,2294
West Bengal ,942
Vietnam ,831
Ethiopia ,505
Democratic Republic of the Congo ,116
Egypt ,3175
Jiangsu ,2206
Sichuan ,2645
Germany ,2529
Madhya Pradesh ,1107
Tamil Nadu ,1108
Iran ,3094
Turkey ,2100
Tokyo ,54906
Hebei ,2111
Rajasthan ,1146
Thailand ,842
Hunan ,923
France ,2530
Gujarat ,1142
United Kingdom ,2281
Karnataka ,1138
Italy ,2944
Anhui ,2205
Zhejiang ,925
Hubei ,2212
South Africa ,759
Colombia ,1629
England ,2070
Dhaka ,935
Andhra Pradesh ,1137
Myanmar ,1028
South Korea ,2182
Spain ,2913
Tanzania ,526
Yunnan ,1871
Jawa Barat ,837
Guangxi ,922
Jiangxi ,924
Kenya ,419
Sind ,1148
Ukraine ,2116
Liaoning ,2300
Odisha ,897
SÃ£o Paulo ,1186
Argentina ,1654
Shenzhen ,59233
Heilongjiang ,2298
California ,3241
Algeria ,3174
Poland ,2115
Jawa Timur ,899
Shaanxi ,2410
Fujian ,920
Iraq ,1789
Uganda ,556
Shanxi ,2112
Telangana ,841
Sudan ,458
Jharkhand ,883
Guizhou ,1870
Canada ,3253
Oromia ,165
Morocco ,2980
Kerala ,981
Jawa Tengah ,838
Assam ,789
Venezuela ,1630
Peru ,1673
Saudi Arabia ,1793
Uzbekistan ,3088
Nepal ,1130
Malaysia ,778
Chittagong ,934
Punjab ,1145
Ghana ,368
N.W.F.P. ,3067
Chongqing ,2211
Chongqing ,12730
Texas ,7782
Jilin ,2299
New York ,53243
Chhattisgarh ,896
Afghanistan ,3071
Shanghai ,12724
Shanghai ,2207
Haryana ,1143
Yemen ,765
Mozambique ,359
Gansu ,2110
Nei Mongol ,2764
Angola ,285
Jakarta ,64387
DELHIMUNICIPALCORPORATION(U) ,58384
Cameroon ,440
Xinjiang Uygur ,2525
Syria ,2755
Beijing ,2293
Beijing ,12747
SÃ£o Paulo ,66002
Madagascar ,175
Taiwan ,1098
North Korea ,2200
CÃ´te d'Ivoire ,367
Lahore ,25445
Seoul ,54343
Shanghai ,61148
Australia ,3289
Romania ,2612
Manila ,64619
Al-Qahirah ,61639
Taipei ,59311
Mexico City ,60200
Minas Gerais ,1611
Los Angeles ,62935
Sri Lanka ,1115
Florida ,1830
Amhara ,708
BEJING ,54497
Rajshahi ,937
Niger ,457
New York ,3229
Burkina Faso ,598
"Southern Nations, Nationalities and Peoples ",166
Chile ,1684
Mali ,456
MUMBAY ,59120
Multan ,25446
Gujranwala ,25444
MÃ©xico ,1180
Nordrhein-Westfalen ,1883
Asyut ,61640
West ,20265
NCT of Delhi ,1144
Kazakhstan ,3107
Netherlands ,1875
Buenos Aires ,1660
Rio de Janeiro ,1606
Kolkata ,59306
Rangpur ,938
Guatemala ,1563
Khulna ,936
Cambodia ,833
Malawi ,302
Ecuador ,1232
Dhaka ,59084
Bangkok ,64328
Zambia ,686
Moscow ,45415
Chengdu ,12822
Faisalabad ,25443
Tianjin ,12790
Tianjin ,2296
London ,44946
Bahia ,1698
Guangzhou ,8858
Karachi ,25449
Istanbul ,2017
Buenos Aires ,67054
Tokyo ,2517
Chad ,459
Sumatera Utara ,1094
Gauteng ,3705
Jammu and Kashmir ,2828
Zimbabwe ,546
Dhaka ,3778
Ontario ,3251
Senegal ,600
South  Parganas ,19870
Illinois ,3258
JOHANNESBURG ,64013
Gyeonggi-do ,2189
Pennsylvania ,3225
Istanbul ,55580
Rio de Janeiro ,65998
Kano ,642
Bayern ,2559
Banten ,839
ÃŽle-de-France ,1890
Shenzhen ,8865
Karachi ,59853
Metropolitan Manila ,969
Cundinamarca ,1332
Haiti ,1263
Lagos ,201
South Sudan ,683
Central ,1132
Ohio ,887
SÃ£o Paulo ,11241
Baoding ,12663
Suzhou ,12712
Paris ,48734
Rwanda ,555
Harbin ,12804
Tehran ,2579
Belgium ,1872
Bahawalpur ,25452
Uttarakhand ,1170
Chicago ,52011
Cuba ,1514
Tunisia ,2959
Rio Grande do Sul ,1185
ParanÃ¡ ,1184
Guinea ,170
Moscow City ,2467
Sylhet ,939
Benin ,597
Bolivia ,1442
Shijiazhuang ,12667
Nanyang ,12691
Georgia ,3242
Czech Republic ,2528
Greece ,2840
Wuhan ,12701
Lagos ,63445
KwaZulu-Natal ,3702
Portugal ,1772
Dominican Republic ,1594
Mumbai Suburban ,19445
Bangalore ,19954
Baden-WÃ¼rttemberg ,2558
Hyderabad ,25448
Pune ,20205
North Carolina ,894
Dera Ghazi Khan ,25442
Birmingham ,44247
Rawalpindi ,27954
Linyi ,12779
Lombardia ,2402
Los Angeles ,43070
Wenzhou ,8850
Jakarta Raya ,840
