place,id
Ṣo Jọo do Araguaia ,11367
Voznesenskiy rayon ,31878
Polson ,48616
Division No.  ,13190
Victoria ,35144
Labateca ,13893
Hashtpar ,54144
,44181
Sulaco ,15151
Kawardha ,58742
Tlacolula de Matamoros ,65899
Aurora ,53422
Howard ,42157
Cherykaw ,7304
Birmitrapur ,58642
Nova Trento ,11106
Tintesti ,32839
Puxinaṇ ,12145
Guichang ,69676
Aalburg ,27314
Tarkwa ,63391
Malone ,52087
Barra do Mendes ,5182
Matanog ,28705
Yabuth ,38396
Martin ,57076
Tafraoui ,17723
Hattem ,27243
Yantikovskiy rayon ,30890
Jackson ,41182
,65414
Summers ,41105
Maliana ,63299
Senguio ,26756
,60283
Goshen ,42918
Biritinga ,6432
Rio Casca ,4567
Maria ,28445
,65198
Warnes ,66279
Susa ,10568
,49201
Worthington ,53157
Al Hajjaylah ,38349
Manan ,58356
Dolores ,24873
Yindian ,69662
Ocotepeque ,15121
Bou Henni ,17587
