Strategy,Sector,Solution
Mitigation,Buildings and Cities,District Heating
Mitigation,Buildings and Cities,Insulation
Mitigation,Buildings and Cities,LED Lighting (Household)
Mitigation,Buildings and Cities,Heat Pumps
Mitigation,Buildings and Cities,LED Lighting (Commercial)
Mitigation,Buildings and Cities,Building Automation
Mitigation,Buildings and Cities,Walkable Cities
Mitigation,Buildings and Cities,Smart Thermostats
Mitigation,Buildings and Cities,Landfill Methane
Mitigation,Buildings and Cities,Bike Infrastructure
Mitigation,Buildings and Cities,Smart Glass
Mitigation,Buildings and Cities,Water Distribution
Mitigation,Buildings and Cities,Green Roofs
Mitigation,Buildings and Cities,Net Zero Buildings
Mitigation,Buildings and Cities,Retrofitting
Mitigation,Electricity Generation,Wind Turbines (Onshore)
Mitigation,Electricity Generation,Solar Farms
Mitigation,Electricity Generation,Rooftop Solar
Mitigation,Electricity Generation,Geothermal
Mitigation,Electricity Generation,Nuclear
Mitigation,Electricity Generation,Wind Turbines (Offshore)
Mitigation,Electricity Generation,Concentrated Solar
Mitigation,Electricity Generation,Wave and Tidal
Mitigation,Electricity Generation,Methane Digesters (Large)
Mitigation,Electricity Generation,Biomass
Mitigation,Electricity Generation,Solar Water
Mitigation,Electricity Generation,In-Stream Hydro
Mitigation,Electricity Generation,Cogeneration
Mitigation,Electricity Generation,Methane Digesters (Small)
Mitigation,Electricity Generation,Waste-to-Energy
Mitigation,Electricity Generation,Micro Wind
Mitigation,Electricity Generation,Energy Storage (Distributed)
Mitigation,Electricity Generation,Energy Storage (Utilities)
Mitigation,Electricity Generation,Grid Flexibility
Mitigation,Electricity Generation,Microgrids
Mitigation,Food,Reduced Food Waste
Mitigation,Food,Plant-Rich Diet
Mitigation,Food,Silvopasture
Mitigation,Food,Regenerative Agriculture
Mitigation,Food,Tropical Staple Trees
Mitigation,Food,Conservation Agriculture
Mitigation,Food,Tree Intercropping
Mitigation,Food,Managed Grazing
Mitigation,Food,Clean Cookstoves
Mitigation,Food,Farmland Restoration
Mitigation,Food,Improved Rice Cultivation
Mitigation,Food,Multistrata Agroforestry
Mitigation,Food,System of Rice Intensification
Mitigation,Food,Composting
Mitigation,Food,Nutrient Management
Mitigation,Food,Farmland Irrigation
Mitigation,Food,Biochar
Mitigation,Land Use,Tropical Forests
Mitigation,Land Use,Temperate Forests
Mitigation,Land Use,Peatlands
Mitigation,Land Use,Afforestation
Mitigation,Land Use,Bamboo
Mitigation,Land Use,Forest Protection
Mitigation,Land Use,Indigenous Peoples’ Land Management
Mitigation,Land Use,Perennial Biomass
Mitigation,Land Use,Coastal Wetlands
Mitigation,Materials,Refrigerant Management
Mitigation,Materials,Alternative Cement
Mitigation,Materials,Water Saving - Home
Mitigation,Materials,Bioplastic
Mitigation,Materials,Household Recycling
Mitigation,Materials,Industrial Recycling
Mitigation,Materials,Recycled Paper
Mitigation,Transport,Electric Vehicles
Mitigation,Transport,Ships
Mitigation,Transport,Mass Transit
Mitigation,Transport,Trucks
Mitigation,Transport,Airplanes
Mitigation,Transport,Cars
Mitigation,Transport,Telepresence
Mitigation,Transport,High-speed Rail
Mitigation,Transport,Electric Bikes
Mitigation,Transport,Trains
Mitigation,Transport,Ridesharing
Mitigation,Women and Girls,Educating Girls
Mitigation,Women and Girls,Family Planning
Mitigation,Women and Girls,Women Smallholders
Adaptation,Ecosystem-based,Ecological restoration
Adaptation,Ecosystem-based,wetland and floodplain conservation and restoration
Adaptation,Ecosystem-based,increasing biological diversity
Adaptation,Ecosystem-based,afforestation and reforestation
Adaptation,Ecosystem-based,conservation and replanting mangrove forest
Adaptation,Ecosystem-based,bushfire reduction and prescribed fire
Adaptation,Ecosystem-based,green infrastructure
Adaptation,Ecosystem-based,controlling overfishing
Adaptation,Ecosystem-based,fisheries co-management
Adaptation,Ecosystem-based,assisted migration or managed translocation
Adaptation,Ecosystem-based,ecological corridors
Adaptation,Ecosystem-based,ex situ conservation
Adaptation,Ecosystem-based,seed banks
Adaptation,Ecosystem-based,community-based natural resource management
Adaptation,Ecosystem-based,adaptive land use management
Adaptation,Engineered and Built Envionment,Seawalls and coastal protection structures
